condition,regime,wrong,trajectory,seed,B1_F,K1_F,B1_int,K1_int,B1_e,K1_e
1,C,False,23,6588264193823881302,0.464205,0.993424,0.570251,0.992378,1.917075,2.499789
1,C,False,24,13847035299489426041,0.999028,0.999893,0.812871,0.995941,0.951969,1.168077
1,C,False,25,3436539641273236137,0.667830,0.986445,0.877812,0.998782,0.845790,1.300050
1,C,False,26,2562174795283169040,0.990432,0.984274,0.980371,0.997771,0.480679,0.567858
1,C,False,27,14244553284439517644,0.996585,0.993220,0.898773,0.987998,0.662486,0.793805
1,C,False,28,17608913133450497815,0.963569,1.000000,0.969162,0.998905,0.441272,0.595885
1,C,False,29,17996006275527319704,0.812957,0.981156,0.855532,0.995600,0.830006,1.046811
1,C,False,30,5678511018710248648,0.961527,0.999076,0.537095,0.995711,5.174869,6.479488
1,C,False,31,17806121122449600552,0.979502,0.990062,0.910062,0.997619,0.614942,0.916042
1,C,False,32,18087052827802349198,0.765244,0.980413,0.581864,0.996055,2.511695,3.151070
1,C,False,33,2826954751529832061,0.998714,0.992089,0.625304,0.982319,1.921289,2.428559
1,C,False,34,7785862984183382969,0.932324,0.958002,0.786191,0.986483,1.037995,1.274789
1,C,False,35,2474665726529795206,0.995155,0.973688,0.864550,0.992838,1.090126,1.237505
1,C,False,36,15413862931333232287,0.969271,0.990491,0.672842,0.998353,2.090486,2.878906
1,C,False,37,13823279078916585379,0.958272,0.991456,0.862845,0.997086,1.055986,1.308238
1,C,False,38,8552280754816368181,0.941522,0.997013,0.938293,0.998256,0.576006,0.671012
1,C,False,39,2098316941545326701,0.999904,0.996796,0.763671,0.999062,1.369296,1.741432
1,C,False,40,6624003080662789651,0.931838,0.989238,0.956177,0.993664,0.466971,0.630554
1,C,False,41,3883409303016955911,0.889040,0.980515,0.831406,0.992688,1.137060,1.672423
1,C,False,42,2098484214215913853,0.986000,0.987748,0.880004,0.995479,0.789196,1.109771
1,C,False,43,354812032807674542,0.805233,0.973731,0.599842,0.989421,1.878879,2.064278
1,C,False,44,16932598909404653156,0.911117,0.998372,0.627359,0.996410,2.132515,2.549051
1,C,False,45,16824646918711359935,0.849046,0.999945,0.916166,0.999464,0.648626,0.929852
1,C,False,46,18099298932906849525,0.891078,0.985702,0.923465,0.990696,0.554585,0.593599
1,C,False,47,5344702288507899276,0.936414,0.991739,0.866280,0.997044,0.783430,1.066814
1,C,False,48,15516356955829044527,0.975731,0.989254,0.950968,0.981730,0.784465,0.998997
1,C,False,49,9652615256568975426,0.982736,0.999685,0.935081,0.997459,0.642283,0.722418
1,C,False,50,5899950009947580327,0.871335,0.990680,0.928686,0.998724,0.684483,1.053457
1,C,False,51,155163627815251536,0.971577,0.970841,0.966276,0.986532,0.561895,0.672517
1,C,False,52,5001251344622740117,0.999690,0.981884,0.649335,0.997714,1.956260,2.271163
1,C,False,53,13234541246198717719,0.724213,0.987260,0.618067,0.993967,1.889222,2.240312
1,C,False,54,16533366284157705106,0.853787,0.967995,0.866093,0.979158,0.582676,0.812816
1,C,False,55,2117599770228979790,0.998894,0.971762,0.819414,0.984016,0.970339,1.210173
1,C,False,56,13366055447721603840,0.949319,0.949009,0.691204,0.944478,1.103962,1.443142
1,C,False,57,11076522649891567910,0.889748,0.974861,0.971599,0.993011,0.417330,0.546420
1,C,False,58,7870429157351059359,0.911146,0.994827,0.593505,0.993293,2.008506,2.417393
1,C,False,59,14420012116733949093,0.937816,0.941198,0.976369,0.980665,0.404731,0.498368
1,C,False,60,327961059537685436,0.937788,0.999881,0.669498,0.999392,1.729505,2.106729
1,C,False,61,3860190064395088684,0.983967,0.970186,0.876221,0.984144,0.946275,1.300583
1,C,False,62,8227116463056412739,1.000000,0.998839,0.932100,0.996612,0.568426,0.764586
1,C,False,63,36825879821806677,0.810949,0.993273,0.950447,0.996253,0.533088,0.685109
1,C,False,64,732621004966186327,0.740297,0.999973,0.886713,0.998352,0.754890,1.193300
1,C,False,65,4144293395862699382,0.919766,0.985760,0.700252,0.991314,1.407308,1.599769
1,C,False,66,6672458013022873412,0.977154,0.973296,0.875893,0.993314,0.705796,0.889592
1,C,False,67,15316783551587354858,0.997590,0.999435,0.653840,0.996508,2.214314,2.467856
1,C,False,68,4957885649897097966,0.740483,0.954569,0.769606,0.988307,0.919079,1.109386
1,C,False,69,11369042854369383293,0.997208,0.960994,0.860497,0.971274,0.629471,0.772639
1,C,False,70,12469543040130518537,0.855799,0.998688,0.968278,0.996575,0.499539,0.654019
1,C,False,71,1692661429523449239,0.996924,0.999999,0.870088,0.999444,0.852226,1.193512
1,C,False,72,16081387120139323257,0.956678,0.991485,0.990058,0.994402,0.395974,0.504566
1,C,False,73,15503968852551494232,0.988658,0.977211,0.606812,0.997157,2.374551,2.794424
1,C,False,74,5909764651216837976,0.880519,0.997237,0.882252,0.994915,0.765103,0.901399
1,C,False,75,5231579201714807687,0.917300,0.999993,0.961002,0.998785,0.423672,0.655194
1,C,False,76,12549639007952069543,0.991635,0.965703,0.794323,0.990215,1.549670,1.831012
1,C,False,77,17213925078797606076,0.917037,0.987606,0.948624,0.996526,0.452327,0.585815
1,C,False,78,1825354369873983507,0.966159,0.996035,0.885341,0.996823,0.829760,1.084308
1,C,False,79,12510132611121074868,0.989118,0.979105,0.904025,0.994878,0.709096,0.855286
1,C,False,80,17860625069390269402,0.834799,0.997688,0.886063,0.999241,0.800839,0.949808
1,C,False,81,13318879732659955421,0.962371,0.992416,0.843745,0.988673,0.669798,0.767144
1,C,False,82,3791198185484700404,0.953827,0.997833,0.779484,0.995794,1.434003,1.552533
1,C,False,83,18094934153263207018,0.955240,0.983839,0.973222,0.992997,0.473905,0.601579
1,C,False,84,102213511729854648,0.811727,0.999817,0.907937,0.996265,0.788589,0.964842
1,C,False,85,12033387989126740441,0.999976,0.998202,0.956113,0.995202,0.401757,0.511348
1,C,False,86,11019052771957141486,0.891234,0.954076,0.941193,0.979573,0.527886,0.688154
1,C,False,87,9987187324859440757,0.809896,0.991556,0.942500,0.998443,0.541223,0.681623
1,C,False,88,11076459742163877316,0.958829,0.995469,0.554084,0.990856,2.130826,2.565566
1,C,False,89,4109816161527519424,0.869474,0.998991,0.741636,0.998133,1.732611,2.300530
1,C,False,90,13721389105606611018,0.838124,0.980250,0.923644,0.989372,0.699194,0.855812
1,C,False,91,17642688204823682596,0.836680,0.999968,0.917240,0.998719,0.730928,0.914380
1,C,False,92,12863786876997085946,0.962448,0.946018,0.472858,0.950468,2.808206,3.195048
1,C,False,93,9904904023791539100,0.984747,0.999844,0.731678,0.991031,1.873846,2.364398
1,C,False,94,1711585921792691346,0.961413,0.999964,0.841480,0.998987,0.909862,1.209250
1,C,False,95,2861844490437268241,0.940652,0.999670,0.966601,0.996055,0.538275,0.769500
1,C,False,96,11847839562583246392,0.816502,0.934046,0.944808,0.984943,0.496675,0.670113
1,C,False,97,3838848487862148528,0.939660,0.965767,0.830927,0.994613,0.988196,1.382673
1,C,False,98,3750829085176521237,0.473572,0.932646,0.806726,0.978921,1.071940,1.426377
1,C,False,99,10938673670030773172,0.996954,0.996176,0.924982,0.998774,0.547618,0.739923
