trajectory,seed,B1_F,B1_FI,B1_E,GLOBAL_F,GLOBAL_FI,GLOBAL_E,LOCAL_F,LOCAL_FI,LOCAL_E,HYBRID_F,HYBRID_FI,HYBRID_E
254,3897808671653199814,0.9646939026645613,0.9114835535975276,2.6028111279603032,0.9363486481932598,0.8624099289131415,2.236176568551011,0.992660965752974,0.5909180481481715,0.5231113582269051,0.9363486481932598,0.8624099289131416,2.6489441322260197
255,14874646592704749742,0.9700271013029292,0.9503034315819463,1.4724981855641572,0.986574640964046,0.9307140329182135,1.041360938822946,0.6827902615392694,0.5588051197356246,0.533594816724994,0.986574640964046,0.9307140329182135,1.527829976687239
256,2205580776389763340,0.20448292107896193,0.6854942153374843,7.842275537530396,0.0348703612264319,0.6104899478896187,7.298920875350149,0.007368457252775409,0.6397072491031175,0.5185458062208981,0.03487036122643181,0.6104899478896186,7.537430548831879
257,5826361549013946490,0.9420436116001843,0.9352643097560248,1.9888044226660107,0.8491691474870731,0.8651239022835858,1.634380181386454,0.143549826471202,0.6065410974082972,0.4392269028692388,0.8491691474870728,0.8651239022835858,2.0111429981397015
258,10221057968596725066,0.9871228559841715,0.9361635380000283,1.9342718824382086,0.989828270285686,0.9211095153265061,1.5336463885500946,0.3184683199279664,0.4832421432230817,0.6025708157743889,0.9898282702856858,0.921109515326506,2.072855754401549
259,6453208434021485165,0.9422270192871856,0.9320386974161716,1.8154906420131565,0.9210367235284573,0.9189512461686787,1.4086164216607182,0.2677100223509794,0.5705211892332237,0.5169812340891409,0.9210367235284573,0.9189512461686787,1.8775520347712442
260,4353626610234982930,0.9545887800542594,0.958236621780348,1.333230867738746,0.9348465169202067,0.9467143123994745,0.9645822090986198,0.7625274854335247,0.6503077935373217,0.5264259552906317,0.9348465169202067,0.9467143123994745,1.4551159369614266
261,5696552201313562579,0.9903329830516745,0.8797387311508572,3.078344762662199,0.9965139548140303,0.8132791583644455,2.663788252033541,0.7930758093413297,0.5236534064250853,0.5397141057469218,0.9965139548140303,0.8132791583644454,3.1184130077658523
262,9095666310466077848,0.8934308256609046,0.8765629833946968,3.624788049544392,0.8596496537295204,0.8334910984667286,3.259787582152905,0.3352893531851947,0.5387557405499356,0.5681927672114512,0.8596496537295204,0.8334910984667286,3.669740378465429
263,6570557955481224281,0.211066494662694,0.7708085739558063,6.098383365073867,0.027801750524975428,0.6723266036901208,5.44825278448344,0.003910270535394155,0.5966350597173736,0.6581699128076585,0.027801750524975574,0.6723266036901208,5.889851761731628
264,5689117673907539069,0.6031644711723925,0.945948212430049,1.7030318493637675,0.6326985155920692,0.9461518846971195,1.2435684974113128,0.9211555552185134,0.4799443270425303,0.552031448948967,0.6326985155920692,0.9461518846971195,1.7559715990541085
265,2136517280954520240,0.8908842466990726,0.9346811324081753,1.9232971541633392,0.8497822098215042,0.8984231386103475,1.4899894659332542,0.286827865642098,0.6461460081658378,0.584980765832031,0.8497822098215043,0.8984231386103475,2.005571913917296
266,14187911378648417033,0.9475801146919642,0.8702138323843659,3.227394528565808,0.958372715090263,0.8247146363833939,2.8235448814112045,0.5209986557135805,0.44618571695223114,0.5633664086936424,0.958372715090263,0.8247146363833939,3.242542225415563
267,11375435382841957843,0.9505987133624719,0.8155335662939929,5.226213474909508,0.9032285382882904,0.7433980716680675,4.779853665555332,0.7235963685630893,0.5704375264537386,0.6907422642769555,0.9032285382882904,0.7433980716680675,5.270021714644549
268,13071996782841058847,0.9980693264661906,0.9700627985166186,1.03050205958873,0.9992550310483044,0.9550747576091125,0.5886189471711452,0.9855335190428861,0.7189547283714803,0.4560584578041779,0.9992550310483044,0.9550747576091124,1.034506656774653
269,11338881089578178009,0.9974721450685489,0.9792852479261772,0.800469944429792,0.9985125562063382,0.952830390937233,0.4709423665615225,0.6315165865866734,0.5695326687627588,0.39578310617907647,0.9985125562063382,0.952830390937233,0.8506378953439993
270,6527657025255205826,0.9151679767306141,0.8624034786490853,3.7305038461825815,0.7671605860288994,0.8540148912649703,3.200571722685499,0.30234150804649473,0.527514875371297,0.8027552682710766,0.7671605860288991,0.8540148912649703,3.8746763157172635
271,5324917739812824323,0.9826114189813424,0.973321782049853,0.9687281757353967,0.962668506448106,0.9663111250915738,0.5602745308282848,0.7236685967868882,0.6275514541998952,0.5199637187898184,0.962668506448106,0.9663111250915738,1.0656810562291814
272,6378653037970631439,0.8020293543525331,0.8535559791308608,3.668245189296413,0.6995319399785259,0.8089573520497433,3.170449756847429,0.00506675100131736,0.5820194819443001,0.6592615005672581,0.6995319399785259,0.8089573520497433,3.7305525224856075
273,4881305562655440017,0.9993732551937287,0.9857860082354246,0.8207540297859001,0.9998199616349438,0.985924568677927,0.4234103266514859,0.4233678480337645,0.5189431142386957,0.49359657682845903,0.9998199616349438,0.985924568677927,0.9059667856132959
274,2752680654181406001,0.9999998287735203,0.9816098514971892,0.7558372710165836,0.9996485493454838,0.9726459676827162,0.3970265454137124,0.9997936607364436,0.7293092274634131,0.4235000376816703,0.9996485493454838,0.9726459676827162,0.802998767895408
275,18375344833579223419,0.45783006236449053,0.8214043448510004,5.581828167594717,0.5130876845261323,0.832036402880944,5.053112508859123,0.502680137309399,0.6275688169549477,1.004858644251711,0.5130876845261325,0.8320364028809443,5.807018471310629
276,987086817554419232,0.9347209069753328,0.972596405135965,0.8471135367406111,0.89322488563633,0.9605732716207593,0.47725054323991084,0.23883345508354395,0.7021210430419677,0.404786593772141,0.8932248856363298,0.9605732716207593,0.8737625992762148
277,12322231815329877118,0.8389922895980747,0.8152995680089195,5.788112488444539,0.7310240479655111,0.7233638372904706,5.352805338793818,0.03279511065994352,0.5577215686006626,0.7066170017413368,0.7310240479655111,0.7233638372904706,5.810225559119965
278,17329982279379237804,0.9608855342701992,0.9407870321713453,1.3820793759744465,0.9312791798205057,0.9232488096986948,1.0338555868718886,0.7387423546557784,0.6739279413140499,0.4639660530681174,0.9312791798205057,0.9232488096986948,1.453156425023542
279,9965669867022660771,0.8609469852455672,0.6512116760064546,11.320461282321748,0.861366246435491,0.6072957284291484,10.938539942413728,0.08847935654562379,0.5335033559076563,1.0408315415468856,0.861366246435491,0.6072957284291484,11.460909093209128
280,15919533745773579058,0.6685661675320086,0.8665892008626354,4.276494930802184,0.6890911859772642,0.8804221048148596,3.763639207348834,0.4989118537133122,0.7480238118862312,0.7249151019843038,0.6890911859772642,0.8804221048148596,4.341604526699871
281,14411461087711789732,0.9365738450896576,0.9709346485186987,0.8814134621874213,0.946859498521007,0.966858855961294,0.5135902825442856,0.3834470925170757,0.427839232074628,0.4132722621500335,0.9468594985210068,0.966858855961294,0.9192473931758177
282,16539588657227115057,0.9847338050056365,0.9481940843998125,2.0085291158747647,0.9979354765262602,0.9357493819920897,1.624547000759682,0.045922196480262474,0.7256458395000517,0.550898707840595,0.9979354765262602,0.9357493819920897,2.1181406913805128
283,17021915151403055961,0.9987843050247999,0.8593477302364673,3.737590689742896,0.9934726853812307,0.8182679812493235,3.2515117967034484,0.983142503475268,0.7019458623212199,0.8061268675252883,0.9934726853812307,0.8182679812493235,3.8827041905961344
284,11078042505839855600,0.9187240534769803,0.8199406144667615,5.796344273440583,0.9564222819340632,0.7396452607200256,5.334615597068419,0.8608333227377201,0.6444036611961199,0.5748323134433688,0.9564222819340632,0.7396452607200256,5.6936470307523885
285,17745050872929635951,0.9860715666857632,0.9685595405611046,1.0299654216517107,0.9334280329340672,0.9519661073184156,0.692766805573041,0.41992481209405014,0.3533346372001178,0.3957809452658653,0.9334280329340672,0.9519661073184156,1.0627066299163515
286,2401342405240495346,0.9968684271347792,0.9124464401682296,1.9073947737811607,0.9981247395974381,0.8929046093257237,1.5222441526429205,0.02166440574233473,0.4331869903552371,0.4912990449138558,0.9981247395974381,0.8929046093257237,1.9470678311805802
287,1829760009825073474,0.945587691272264,0.9814472522408763,0.6338925443725476,0.9655156766733033,0.9849756587664775,0.2890665153725321,0.5608831705743521,0.893308722462746,0.4111349102484867,0.9655156766733035,0.9849756587664776,0.6965054324061835
288,16282928624938333042,0.7375159529793232,0.7236199529959834,8.523890715935698,0.6915099332219949,0.6853600621388782,8.083919047761842,0.9581952533850361,0.5983345180986409,0.8923775434553504,0.6915099332219953,0.6853600621388783,8.596954727498561
289,6416610411677885479,0.9136366460727715,0.9392256145200749,1.9917559689931923,0.8328593801910235,0.9093596884202699,1.5649241986030453,0.23446754271389625,0.7043902396297764,0.4883508534944053,0.8328593801910232,0.9093596884202699,2.0037064431015996
290,15820318444125788785,0.9531806194683806,0.934328137415244,2.1015613976409497,0.93301105718249,0.9185012880442682,1.7838489668955355,0.9899239837788943,0.6879937552780653,0.3513655840687119,0.93301105718249,0.9185012880442682,2.070619756752267
291,15618214423572789333,0.989302809030851,0.8667203474629447,3.8029876262365967,0.9970675303069346,0.8146997850806383,3.4218370863440613,0.07532260642038056,0.4502816309551695,0.5582131620486571,0.9970675303069346,0.8146997850806383,3.8236250283578483
292,7712232527808675948,0.9658717284751753,0.9683667886331544,1.2396700061104209,0.9434254485650557,0.9511743255561115,0.7755906760508171,0.32372426123099945,0.6361309624078068,0.6303802026259566,0.9434254485650557,0.9511743255561115,1.3688686296445616
293,8804305675901589021,0.9790631284448017,0.9847346571582105,0.6474317133689871,0.9922398323526653,0.9814599575234555,0.2956636147653233,0.6362706212166688,0.7366520167985168,0.3745594713818755,0.9922398323526653,0.9814599575234555,0.6649638183785523
294,2896531142176284610,0.9881621636920571,0.9597899675723289,1.0794034513888697,0.9836262049635802,0.9532256708909832,0.7637262036203093,0.3925622628637534,0.658990685277324,0.38339560250371474,0.9836262049635802,0.9532256708909832,1.126013676343308
295,15590723234470151084,0.9474069480781369,0.9074199233046438,2.8115734059784963,0.9823101526586836,0.8963647022089496,2.361587001586095,0.9940583787297346,0.6366890646695677,0.527093912969054,0.9823101526586838,0.8963647022089496,2.8228239065015077
296,3845753481194167982,0.8954777313184047,0.8731702483388032,4.308719536523771,0.8452725339937662,0.8427696938271085,3.924962145759494,0.9396657798017553,0.5127842101518458,0.5353130844504718,0.8452725339937662,0.8427696938271085,4.291957413686008
297,17093705107221851320,0.622481726451094,0.7142283912470663,8.560762712343895,0.5311957689435941,0.6735326197710378,8.049397663043447,0.9734239588313592,0.5272694297360119,0.8281521617838016,0.5311957689435941,0.6735326197710377,8.508615442456854
298,13347919846335545151,0.9642465450958507,0.9715655881411206,0.889494867026249,0.9647766691024383,0.9633628134871972,0.5516916598136097,0.904317818636811,0.49990543118119496,0.42815893353095197,0.9647766691024383,0.9633628134871972,0.9565106542998315
299,16628295627332927464,0.9040616998551024,0.8122919100911484,5.465050342313997,0.9003273183582519,0.7638489056092121,5.012324204927587,0.5786834455826853,0.5929297535544311,0.7059792350614769,0.9003273183582521,0.7638489056092121,5.503424115435417
300,5373889430727767726,0.9720210265201232,0.960576902689809,1.3024957937902688,0.9715904029407452,0.9518203870623924,0.9748828754562898,0.5279447552923379,0.7283128611626192,0.4563586235869898,0.9715904029407452,0.9518203870623924,1.4022018271938261
301,11873594785461348941,0.999845540988348,0.9292970087411864,2.1365020837239546,0.9999451930796321,0.9111293772527175,1.755288666039916,0.1678299562139652,0.4226555726371429,0.5237856300944622,0.9999451930796321,0.9111293772527175,2.212230691715601
302,6272594425317701855,0.7960983131276539,0.8790162739454507,2.5153286954751257,0.7060346334822954,0.8292441844357753,2.1415591408901604,0.9225442423247665,0.48909821617858895,0.5017776475581869,0.7060346334822956,0.8292441844357753,2.5557214073939827
