t,shifted,generation,policy,mode,trusted,reward,regret_v02,regret_b1,adv_v02_vs_b1
287,0,0,B1,DEPLOY,1,0.7861357102045069,0.0,0.0,0.0
288,0,0,HYBRID,DEPLOY,1,0.8841852376227167,0.0,0.04847404269068356,0.04847404269068356
289,0,0,GLOBAL,DEPLOY,1,0.8967120004826798,0.0,0.07278381391330235,0.07278381391330235
290,0,0,HYBRID,DEPLOY,1,0.8879670063185335,0.0,0.08906548983945384,0.08906548983945384
291,0,0,HYBRID,DEPLOY,1,0.9718885043740085,0.0,0.13789235477328865,0.13789235477328865
292,0,0,HYBRID,DEPLOY,1,0.9302640065315619,0.016665511585276627,0.07627350098293906,0.05960798939766243
293,0,0,HYBRID,DEPLOY,1,1.0,0.0,0.11226511630100477,0.11226511630100477
294,0,0,B1,DEPLOY,1,0.8650528937765695,0.0,0.0,0.0
295,0,0,HYBRID,DEPLOY,1,0.8021200187814366,0.04841135732498503,0.07036306931906577,0.021951711994080747
296,0,0,GLOBAL,DEPLOY,1,0.8103414675039653,0.10575572299283154,0.04702074144732715,-0.05873498154550438
297,0,0,B1,DEPLOY,1,0.9004008828939294,0.012126573217940861,0.012126573217940861,0.0
298,0,0,B1,DEPLOY,1,0.8714071210500086,0.0,0.0,0.0
299,0,0,HYBRID,DEPLOY,1,0.8778992109769489,0.0,0.07873796792929688,0.07873796792929688
300,1,0,LOCAL,DEPLOY,1,0.8163421494703732,0.010561270963636016,0.0,-0.010561270963636016
301,1,0,B1,DEPLOY,1,0.882858846528418,0.0,0.0,0.0
302,1,0,B1,LEARN_UCB,1,0.8860765548871374,0.0,0.0,0.0
303,1,0,HYBRID,DEPLOY,1,0.906264563255129,0.08725398050556488,0.09914493800515523,0.011890957499590349
304,1,0,HYBRID,DEPLOY,1,0.8829304711741629,0.0,0.016862282253819916,0.016862282253819916
305,1,0,B1,LEARN_UCB,1,0.8874358719376665,0.0,0.0,0.0
306,1,0,LOCAL,DEPLOY,1,0.8896434290598115,0.0,0.03526716435833799,0.03526716435833799
307,1,0,GLOBAL,DEPLOY,1,0.8576892242596927,0.0,0.07983209863446372,0.07983209863446372
308,1,0,B1,DEPLOY,1,0.8967975090677516,0.0,0.0,0.0
309,1,0,B1,DEPLOY,1,0.8544113093308495,0.01124801334704184,0.01124801334704184,0.0
310,1,0,GLOBAL,DEPLOY,1,0.8319653067114394,0.005579114473119873,0.0,-0.005579114473119873
311,1,0,B1,DEPLOY,1,0.8873646253837099,0.0,0.0,0.0
312,1,0,B1,DEPLOY,1,0.9233147171791729,0.0,0.0,0.0
313,1,0,LOCAL,DEPLOY,1,0.9626278130315206,0.0,0.07262906213758658,0.07262906213758658
314,1,0,LOCAL,DEPLOY,1,0.8690478377029671,0.0,0.0206269656656769,0.0206269656656769
315,1,0,HYBRID,DEPLOY,1,0.8597405470160835,0.026771733337278003,0.0,-0.026771733337278003
316,1,0,B1,DEPLOY,1,0.7591870860979537,0.05223603251562814,0.05223603251562814,0.0
317,1,0,GLOBAL,DEPLOY,1,0.904919092424812,0.006117188605587742,0.0,-0.006117188605587742
318,1,0,GLOBAL,DEPLOY,1,0.7942102392922294,0.03543888603534939,0.0,-0.03543888603534939
319,1,0,HYBRID,DEPLOY,1,0.8820791261042241,0.01538775547268334,0.03148226692622591,0.01609451145354257
320,1,0,B1,DEPLOY,1,0.8525440323868494,0.0,0.0,0.0
321,1,0,GLOBAL,DEPLOY,1,0.8802594590295514,0.0,0.05665121265777573,0.05665121265777573
322,1,0,HYBRID,DEPLOY,1,0.8919352974177595,0.0,0.018404947020940865,0.018404947020940865
323,1,0,HYBRID,DEPLOY,1,0.8146306839883835,0.0,0.005786995799682004,0.005786995799682004
324,1,0,B1,DEPLOY,1,0.8920972291379489,0.0,0.0,0.0
325,1,0,LOCAL,DEPLOY,1,0.8179116270012907,0.0,0.02481539273930078,0.02481539273930078
326,1,0,LOCAL,DEPLOY,1,0.8454295732894272,0.0,0.055428754523701995,0.055428754523701995
327,1,0,LOCAL,DEPLOY,1,0.8322711182702793,0.0,0.013725627655749917,0.013725627655749917
328,1,0,B1,DEPLOY,1,0.8838802897952309,0.0,0.0,0.0
329,1,0,B1,DEPLOY,1,0.866182900506404,0.0,0.0,0.0
330,1,0,HYBRID,DEPLOY,1,0.9083008793355529,0.0,0.030895025876685467,0.030895025876685467
331,1,0,HYBRID,DEPLOY,1,0.882412346994661,0.0,0.002656826154225911,0.002656826154225911
332,1,0,HYBRID,DEPLOY,1,0.8689274385844125,0.021271360841441433,0.0,-0.021271360841441433
333,1,0,HYBRID,DEPLOY,1,0.8113808427347026,0.09002888771604223,0.06525584264486495,-0.02477304507117728
334,1,0,B1,DEPLOY,1,0.9301613133513358,0.0,0.0,0.0
335,1,0,HYBRID,DEPLOY,1,0.8896282675100277,0.0037265923993237138,0.02424645425465033,0.020519861855326615
336,1,0,GLOBAL,DEPLOY,1,0.9418459973056936,0.0,0.041433627200242906,0.041433627200242906
337,1,0,GLOBAL,DEPLOY,1,0.8806761197787802,0.0,0.03703768508835281,0.03703768508835281
338,1,0,B1,DEPLOY,1,0.8572203475361241,0.0,0.0,0.0
339,1,0,LOCAL,DEPLOY,1,0.9510998022880289,0.0,0.07627541580708908,0.07627541580708908
340,1,0,B1,DEPLOY,1,0.8380646671810548,0.0,0.0,0.0
341,1,0,GLOBAL,DEPLOY,1,0.7798449914964778,0.0677202405373295,0.0,-0.0677202405373295
342,1,0,GLOBAL,DEPLOY,1,0.7641928872253019,0.037578644615631096,0.0,-0.037578644615631096
343,1,0,B1,DEPLOY,1,0.8737424603528572,0.0,0.0,0.0
344,1,0,HYBRID,DEPLOY,1,0.8825566790779927,0.0028345619922124365,0.004897145132046421,0.0020625831398339844
345,1,0,HYBRID,DEPLOY,1,0.8672438843383852,0.017826296732288305,0.06333417145288134,0.04550787472059303
346,1,0,HYBRID,DEPLOY,1,0.7477175969856128,0.040644434887858516,0.0,-0.040644434887858516
347,1,0,HYBRID,DEPLOY,1,0.9169636095323017,0.03671595915140313,0.0,-0.03671595915140313
348,1,0,HYBRID,DEPLOY,1,0.8428655179442963,0.04750920417277438,0.0,-0.04750920417277438
349,1,0,HYBRID,DEPLOY,1,0.8058648477721724,0.028700755052028293,0.0,-0.028700755052028293
350,1,0,GLOBAL,DEPLOY,1,0.8730716335080023,0.010004407228646595,0.0,-0.010004407228646595
351,1,0,B1,DEPLOY,1,0.8246975703454412,0.0,0.0,0.0
352,1,0,HYBRID,DEPLOY,1,0.9091705264763873,0.0,0.008499257368353996,0.008499257368353996
353,1,0,HYBRID,DEPLOY,1,0.8090981424421423,0.08802712113408806,0.07256975566264545,-0.015457365471442608
354,1,0,LOCAL,DEPLOY,1,0.9129145990106309,0.0,0.08896365734322065,0.08896365734322065
355,1,0,GLOBAL,DEPLOY,1,0.9350371583435705,0.0,0.0997348859985433,0.0997348859985433
356,1,0,B1,DEPLOY,1,0.9088508861797723,0.0,0.0,0.0
357,1,0,HYBRID,DEPLOY,1,0.9136346992540246,0.01633521004440741,0.042996757376884465,0.026661547332477054
358,1,0,B1,DEPLOY,1,0.8876442206478432,0.0,0.0,0.0
359,1,0,B1,DEPLOY,1,0.8753519021326619,0.0,0.0,0.0
360,1,0,HYBRID,DEPLOY,1,0.7929867892778103,0.09843514922994656,0.02620315637728976,-0.0722319928526568
